10.0	 Miles 	16.0	 Kilometers 
10.0	 Miles 	16.0	 Kilometers 
10.0	 Fahrenheit 	-12.222222222222223	 Celsius 
10.0	 Pounds 	4.5	 Kilograms 
10.0	 Gallons 	39.0	 Liters 
10.0	 Inches 	25.4	 Centimeters 
12.0	 Miles 	19.200000000000003	 Kilometers 
13.0	 Miles 	20.8	 Kilometers 
14.0	 Miles 	22.400000000000002	 Kilometers 
15.0	 Miles 	24.0	 Kilometers 
16.0	 Miles 	25.6	 Kilometers 
17.0	 Miles 	27.200000000000003	 Kilometers 
18.0	 Miles 	28.8	 Kilometers 
19.0	 Miles 	30.400000000000002	 Kilometers 
20.0	 Miles 	32.0	 Kilometers 
21.0	 Miles 	33.6	 Kilometers 
11.0	 Gallons 	42.9	 Liters 
12.0	 Gallons 	46.8	 Liters 
13.0	 Gallons 	50.699999999999996	 Liters 
14.0	 Gallons 	54.6	 Liters 
15.0	 Gallons 	58.5	 Liters 
16.0	 Gallons 	62.4	 Liters 
17.0	 Gallons 	66.3	 Liters 
18.0	 Gallons 	70.2	 Liters 
19.0	 Gallons 	74.1	 Liters 
20.0	 Gallons 	78.0	 Liters 
10.0	 Pounds 	4.5	 Kilograms 
11.0	 Pounds 	4.95	 Kilograms 
12.0	 Pounds 	5.4	 Kilograms 
13.0	 Pounds 	5.8500000000000005	 Kilograms 
14.0	 Pounds 	6.3	 Kilograms 
15.0	 Pounds 	6.75	 Kilograms 
16.0	 Pounds 	7.2	 Kilograms 
17.0	 Pounds 	7.65	 Kilograms 
18.0	 Pounds 	8.1	 Kilograms 
19.0	 Pounds 	8.55	 Kilograms 
10.0	 Fahrenheit 	-12.222222222222223	 Celsius 
11.0	 Fahrenheit 	-11.666666666666668	 Celsius 
12.0	 Fahrenheit 	-11.11111111111111	 Celsius 
13.0	 Fahrenheit 	-10.555555555555555	 Celsius 
14.0	 Fahrenheit 	-10.0	 Celsius 
15.0	 Fahrenheit 	-9.444444444444445	 Celsius 
16.0	 Fahrenheit 	-8.88888888888889	 Celsius 
17.0	 Fahrenheit 	-8.333333333333334	 Celsius 
18.0	 Fahrenheit 	-7.777777777777779	 Celsius 
19.0	 Fahrenheit 	-7.222222222222222	 Celsius 
10.0	 Miles 	16.0	 Kilometers 
12.0	 Miles 	19.200000000000003	 Kilometers 
13.0	 Miles 	20.8	 Kilometers 
14.0	 Miles 	22.400000000000002	 Kilometers 
15.0	 Miles 	24.0	 Kilometers 
16.0	 Miles 	25.6	 Kilometers 
17.0	 Miles 	27.200000000000003	 Kilometers 
18.0	 Miles 	28.8	 Kilometers 
10.0	 Miles 	16.0	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
22.0	 Miles 	35.2	 Kilometers 
2.0	 Miles 	3.2	 Kilometers 
2.0	 Miles 	3.2	 Kilometers 
2.0	 Miles 	3.2	 Kilometers 
